City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
sao filipe,65,CV,1569908240,83,14.9,-24.5,77.81,10.0
saint-pierre,90,FR,1569908240,93,48.95,4.24,60.8,14.99
hualmay,89,PE,1569908240,93,-11.1,-77.61,61.61,11.21
mahebourg,75,MU,1569908241,83,-20.41,57.7,77.0,17.22
praia,0,BR,1569908241,68,-20.25,-43.81,68.0,8.05
vaini,40,IN,1569908241,61,15.34,74.49,80.6,2.84
sisimiut,47,GL,1569908242,76,66.94,-53.67,39.83,4.14
qaanaaq,100,GL,1569908242,96,77.48,-69.36,34.43,10.67
souillac,75,FR,1569908242,93,45.6,-0.6,60.01,3.36
katherine,71,AU,1569908242,11,-14.47,132.26,102.2,17.22
arraial do cabo,89,BR,1569908243,83,-22.97,-42.02,67.91,18.21
mersing,88,MY,1569907959,45,2.43,103.84,92.21,5.19
gat,4,SN,1569908243,88,14.69,-16.54,78.8,8.05
trabzon,0,TR,1569908243,64,41.01,39.72,68.0,3.42
karpathos,0,GR,1569908244,73,35.51,27.21,71.6,11.41
mount gambier,0,AU,1569908109,43,-37.83,140.78,69.8,10.29
vila velha,40,BR,1569908244,74,-3.71,-38.6,78.8,14.99
mar del plata,35,AR,1569908245,72,-46.43,-67.52,35.33,9.53
lompoc,1,US,1569908245,76,34.64,-120.46,57.2,4.7
sumbe,100,AO,1569908246,89,-11.2,13.84,71.69,9.19
hobart,20,AU,1569908246,41,-42.88,147.33,61.0,10.29
badou,97,TG,1569908246,89,7.58,0.61,71.69,1.66
pisco,90,PE,1569908247,88,-13.71,-76.2,62.6,11.41
namatanai,29,PG,1569908247,74,-3.66,152.44,81.77,6.53
bredasdorp,0,ZA,1569908046,93,-34.53,20.04,53.01,2.24
riachao do jacuipe,9,BR,1569908247,92,-11.81,-39.39,67.01,3.91
ornskoldsvik,90,SE,1569908248,93,63.29,18.72,41.0,13.87
ust-tsilma,100,RU,1569908248,95,65.44,52.15,43.79,3.89
augustow,76,PL,1569908249,79,53.84,22.98,46.67,14.52
dingle,67,PH,1569908249,71,11.0,122.67,85.55,5.19
weligama,0,LK,1569908249,70,5.97,80.42,81.41,2.24
haines junction,100,CA,1569908249,98,60.75,-137.51,39.29,4.32
morondava,0,MG,1569908250,62,-20.3,44.28,78.53,5.59
hermanus,0,ZA,1569908250,93,-34.42,19.24,57.99,1.99
carnarvon,0,ZA,1569908032,58,-30.97,22.13,48.65,11.54
ossora,85,RU,1569908250,67,59.24,163.07,39.65,9.71
anzhero-sudzhensk,40,RU,1569908251,60,56.08,86.02,41.0,11.18
codrington,30,AU,1569908251,49,-28.95,153.24,69.8,13.87
tabuk,88,PH,1569908251,93,17.41,121.44,70.97,3.6
xingtai,73,CN,1569908252,36,37.07,114.49,81.77,10.13
bethel,75,US,1569908131,75,60.79,-161.76,46.4,9.17
ambunti,92,PG,1569908252,98,-4.22,142.82,75.47,3.15
tanout,100,NE,1569908252,32,14.97,8.88,88.43,4.63
medina del campo,0,ES,1569908253,87,41.31,-4.92,59.0,10.29
caravelas,18,BR,1569908253,85,-17.73,-39.27,71.51,7.18
butaritari,18,KI,1569908253,59,3.07,172.79,85.37,5.46
cidreira,0,BR,1569908254,86,-30.17,-50.22,65.57,10.29
shache,18,CN,1569908254,16,38.42,77.24,77.99,5.28
severo-kurilsk,47,RU,1569908255,80,50.68,156.12,45.05,10.4
boa vista,0,BR,1569908255,74,2.82,-60.67,80.6,5.82
orotukan,81,RU,1569908255,84,62.26,151.67,19.31,2.77
wahiawa,1,US,1569908255,83,21.5,-158.02,82.4,4.7
luancheng,22,CN,1569908256,42,37.88,114.65,84.2,4.47
lagoa,0,PT,1569908256,77,37.14,-8.45,66.99,4.7
tessalit,33,ML,1569908256,16,20.2,1.01,82.85,9.62
deer lake,90,CA,1569908257,81,49.18,-57.43,42.8,6.93
lerum,20,SE,1569908257,75,57.77,12.27,52.0,10.29
nome,1,US,1569908257,88,30.04,-94.42,82.99,5.14
ribeira grande,100,PT,1569908258,69,38.52,-28.7,70.43,12.75
yanam,40,IN,1569908258,79,16.73,82.22,84.2,8.05
muros,75,ES,1569908258,93,42.77,-9.06,66.99,4.7
karratha,0,AU,1569908258,15,-20.74,116.85,98.51,17.02
florianopolis,75,BR,1569908259,83,-27.6,-48.55,69.8,8.05
nikolskoye,90,RU,1569908259,93,59.7,30.79,53.01,6.71
kaeo,40,NZ,1569908259,82,-35.1,173.78,50.0,5.99
jizan,40,SA,1569908260,67,16.89,42.56,93.2,10.29
port-gentil,99,GA,1569908084,80,-0.72,8.78,77.09,10.54
provideniya,75,RU,1569908260,87,64.42,-173.23,42.8,6.71
victoria,75,BN,1569908261,70,5.28,115.24,86.0,8.05
lipany,20,SK,1569908261,87,49.15,20.96,50.0,10.29
sinnamary,6,GF,1569908261,82,5.38,-52.96,81.23,12.28
nerchinskiy zavod,42,RU,1569908261,51,51.31,119.61,61.97,6.8
dwarka,75,IN,1569908262,70,28.58,77.04,86.0,6.93
sauteurs,40,GD,1569908262,83,12.22,-61.63,82.4,13.87
carot,21,PH,1569908263,68,16.35,119.98,83.93,3.67
pascagoula,1,US,1569908263,94,30.37,-88.56,75.2,2.1
hayden,90,US,1569908264,89,47.77,-116.79,39.2,5.82
kukes,0,AL,1569908264,83,42.08,20.42,58.37,6.89
la libertad,20,PE,1569908264,62,-16.38,-71.56,51.8,4.7
bathsheba,20,BB,1569908265,74,13.22,-59.52,82.4,11.41
yiyang,0,CN,1569908265,25,28.59,112.35,94.91,2.59
oranjemund,58,ZA,1569908265,85,-28.55,16.43,56.39,18.61
namibe,100,AO,1569908266,84,-15.19,12.15,63.95,3.31
avarua,79,CK,1569908266,64,-21.21,-159.78,71.6,6.93
haian,100,CN,1569908266,90,32.53,120.46,84.0,14.07
alofi,99,NU,1569908172,88,-19.06,-169.92,75.2,9.17
kaitangata,80,NZ,1569908267,57,-46.28,169.85,48.0,5.01
cururupu,32,BR,1569908267,96,-1.82,-44.87,72.05,2.59
kavieng,100,PG,1569908267,69,-2.57,150.8,84.65,9.13
chokurdakh,94,RU,1569908268,80,70.62,147.9,27.23,16.62
nokaneng,0,BW,1569908268,24,-19.66,22.19,64.13,13.94
miguel hidalgo,75,MX,1569908268,82,19.41,-99.19,60.8,3.36
hami,19,CN,1569908269,18,42.84,93.51,73.67,4.56
hithadhoo,62,MV,1569908165,78,-0.6,73.08,82.31,15.23
georgetown,24,GY,1569908269,92,6.8,-58.16,77.81,5.39
lasa,20,CY,1569908270,49,34.92,32.53,73.4,5.82
merauke,100,ID,1569908270,83,-8.49,140.4,79.07,26.64
martaban,17,MM,1569908270,74,16.53,97.61,83.57,9.37
gayeri,100,BF,1569908271,79,12.65,0.49,77.81,8.75
guerrero negro,0,MX,1569908271,75,27.97,-114.04,67.19,20.58
barra do garcas,38,BR,1569908271,57,-15.89,-52.26,77.81,1.52
yellowknife,75,CA,1569908272,86,62.45,-114.38,39.2,6.93
new norfolk,20,AU,1569908272,41,-42.78,147.06,61.0,10.29
dalbandin,0,PK,1569908272,7,28.9,64.41,94.55,6.91
flinders,20,AU,1569908273,56,-34.58,150.85,68.0,16.11
rehoboth,0,NA,1569908273,35,-23.31,17.08,51.17,8.25
katsuura,75,JP,1569908273,83,33.93,134.5,87.01,11.41
nurota,7,UZ,1569908274,25,40.56,65.69,64.4,16.11
kyzyl-suu,78,KG,1569908274,66,42.34,78.0,52.61,5.61
leningradskiy,99,RU,1569908275,68,69.38,178.42,38.57,5.26
miles city,1,US,1569908275,80,46.41,-105.84,35.6,9.17
sola,80,TZ,1569908275,48,-3.17,33.8,79.07,2.91
sur,0,OM,1569908275,41,22.57,59.53,93.65,8.57
campos altos,1,BR,1569908276,83,-19.7,-46.17,60.35,5.08
damghan,0,IR,1569908276,41,36.17,54.34,61.25,2.01
saskylakh,97,RU,1569908276,89,71.97,114.09,29.57,10.6
la florida,0,AR,1569908277,64,-26.82,-65.1,75.2,4.7
barcelona,20,ES,1569908231,88,41.38,2.18,70.0,8.05
san cristobal,99,HN,1569908277,91,14.68,-86.92,66.29,1.21
agadez,0,NE,1569908278,65,16.97,7.99,80.6,2.24
nantucket,20,US,1569908133,81,41.28,-70.1,57.0,6.93
payo,65,ID,1569908278,30,-3.75,103.64,87.53,6.22
sao joao da ponte,40,BR,1569908278,76,-15.93,-44.01,68.99,10.27
contai,55,IN,1569908279,65,21.78,87.75,88.25,7.65
khatanga,28,RU,1569908279,67,71.98,102.47,28.67,3.13
beysehir,0,TR,1569908279,35,37.68,31.72,66.11,2.66
buenos aires,90,AR,1569908279,93,-34.61,-58.44,59.0,13.87
airai,3,TL,1569908280,56,-8.93,125.41,83.21,7.83
yulara,31,AU,1569908280,6,-25.24,130.99,100.4,8.05
natal,40,BR,1569908280,83,-5.81,-35.21,77.0,6.93
kodiak,1,US,1569908281,83,39.95,-94.76,78.8,8.05
bejar,0,AL,1569908281,69,40.49,19.83,69.89,6.17
coswig,40,DE,1569908281,76,51.13,13.58,55.99,10.29
camacha,40,PT,1569908097,68,33.08,-16.33,69.8,8.05
east london,0,ZA,1569908282,67,-33.02,27.91,59.0,11.41
faya,20,SA,1569908282,42,18.39,42.45,71.6,4.7
tabou,98,CI,1569908283,97,4.42,-7.36,74.03,3.42
bollnas,0,SE,1569908283,98,61.35,16.39,35.01,4.0
issia,100,CI,1569908283,99,6.49,-6.58,71.69,2.44
cayenne,0,GF,1569908284,94,4.94,-52.33,75.2,3.09
lavrentiya,82,RU,1569908284,92,65.58,-170.99,34.25,5.39
imuris,99,MX,1569908284,91,30.78,-110.86,60.01,1.79
bambous virieux,75,MU,1569908285,83,-20.34,57.76,77.0,17.22
velsk,100,RU,1569908285,97,61.07,42.1,49.01,5.97
quang ngai,40,VN,1569908285,58,15.12,108.8,87.89,4.18
lakhimpur,90,IN,1569908285,94,27.24,94.1,78.8,3.36
tanakpur,75,IN,1569908287,74,29.07,80.11,82.4,4.7
ust-barguzin,100,RU,1569908290,55,53.41,109.03,42.35,5.73
clyde,57,NZ,1569908290,59,-45.19,169.32,44.01,4.88
lafiagi,100,NG,1569908290,95,8.85,5.42,72.05,2.93
norman wells,75,CA,1569908291,65,65.28,-126.83,44.6,1.95
acari,12,BR,1569908291,81,-6.44,-36.64,69.71,7.96
coahuayana,98,MX,1569908291,98,18.62,-100.35,67.55,1.81
oriximina,69,BR,1569908292,67,-1.77,-55.87,81.77,6.04
esperance,17,AU,1569908292,56,-33.86,121.89,69.8,13.87
kenai,90,US,1569908292,81,60.55,-151.26,52.0,5.82
west bay,20,CA,1569908293,57,49.34,-123.21,50.0,3.36
ojinaga,1,US,1569908293,51,29.56,-104.41,82.4,8.05
valleyview,78,CA,1569908293,83,55.07,-117.28,31.55,7.18
saldanha,45,PT,1569908293,96,41.42,-6.55,57.29,3.83
copiapo,18,CL,1569908294,82,-27.37,-70.33,55.4,8.05
batagay-alyta,0,RU,1569908294,70,67.8,130.41,13.91,4.29
ihosy,0,MG,1569908295,43,-22.4,46.13,74.93,5.75
cap malheureux,75,MU,1569908295,83,-19.98,57.61,77.0,17.22
chumikan,100,RU,1569908295,70,54.72,135.31,46.13,3.33
constitucion,80,MX,1569908295,92,23.99,-104.67,54.05,9.53
atar,53,MR,1569908296,19,20.52,-13.05,88.07,4.65
henties bay,15,NA,1569908296,87,-22.12,14.28,63.0,5.99
ahipara,80,NZ,1569908296,68,-35.17,173.16,52.97,26.46
bodaybo,96,RU,1569908297,60,57.85,114.2,35.33,7.09
goderich,3,CA,1569908297,87,43.74,-81.71,73.0,3.0
palmas,40,BR,1569908297,88,-10.18,-48.33,75.2,5.82
osa,100,RU,1569908297,82,57.28,55.46,43.97,13.58
ingham,1,AU,1569908298,42,-18.65,146.16,83.39,7.02
toro,0,ES,1569908298,87,41.52,-5.39,59.0,10.29
berlevag,75,NO,1569908299,70,70.86,29.09,42.8,33.33
high rock,3,BS,1569908299,78,26.63,-78.28,79.61,21.54
cassia,1,US,1569908299,100,28.89,-81.47,79.0,5.82
vangaindrano,93,MG,1569908300,87,-23.35,47.6,76.19,7.18
strezhevoy,90,RU,1569908300,87,60.73,77.6,42.8,13.42
utevka,100,RU,1569908300,63,52.9,50.95,54.77,19.35
ancud,20,CL,1569908300,79,-41.87,-73.83,32.0,3.0
yar-sale,100,RU,1569908301,82,66.83,70.83,38.21,10.74
tobol,21,SE,1569908301,87,59.83,12.54,35.6,4.7
okhotsk,32,RU,1569908301,48,59.36,143.24,43.07,9.6
iqaluit,90,CA,1569908206,86,63.75,-68.52,37.4,5.82
moose factory,90,CA,1569908302,93,51.26,-80.61,41.0,10.29
liberal,20,US,1569908302,73,37.04,-100.92,77.0,20.8
kushima,75,JP,1569908302,78,31.5,131.29,80.6,6.93
miri,29,NG,1569908303,90,10.31,9.75,71.69,3.6
novoagansk,100,RU,1569908303,86,61.94,76.66,40.19,15.86
payson,1,US,1569908014,61,40.04,-111.73,48.2,13.87
moron,98,HT,1569908303,78,18.56,-74.26,79.25,5.08
ambilobe,39,MG,1569908304,51,-13.19,49.05,86.27,14.12
roald,75,NO,1569908304,81,62.58,6.12,46.4,21.92
glace bay,75,CA,1569908304,80,46.2,-59.96,46.0,6.93
kargopol,100,RU,1569908140,96,61.51,38.95,47.93,6.49
jatiroto,47,ID,1569908305,51,-7.61,109.46,85.37,13.22
kosh-agach,2,RU,1569908305,39,49.99,88.66,31.01,0.63
fortuna,75,US,1569908305,93,40.6,-124.16,46.99,3.36
mubende,100,UG,1569908305,76,0.56,31.4,67.55,2.39
ghanzi,0,BW,1569908306,26,-21.7,21.65,58.91,14.99
lucapa,100,AO,1569908306,83,-8.42,20.74,70.25,3.89
upernavik,19,GL,1569908307,65,72.79,-56.15,37.49,7.34
swan hill,0,AU,1569908307,24,-35.34,143.56,73.49,4.12
galesong,40,ID,1569908307,41,-5.32,119.37,93.2,10.29
laguna,75,BZ,1569908146,94,16.17,-88.94,78.8,1.05
tuscaloosa,1,US,1569908052,83,33.21,-87.57,75.2,2.19
escarcega,86,MX,1569908308,95,18.61,-90.75,75.11,6.26
lepe,83,ES,1569908308,72,37.26,-7.2,64.99,10.0
zheleznogorsk,75,RU,1569908309,80,56.25,93.53,39.2,11.18
najran,20,SA,1569908309,37,17.54,44.22,82.4,12.95
saint-denis,90,FR,1569908309,82,48.94,2.36,64.4,11.41
marienburg,75,DE,1569908309,93,52.12,9.98,55.4,6.93
saint george,0,GR,1569908310,82,39.45,22.34,68.0,1.23
klaksvik,99,FO,1569908310,80,62.23,-6.59,41.0,19.46
venice,1,US,1569908310,88,27.1,-82.45,79.0,5.82
ngunguru,51,NZ,1569908311,80,-35.62,174.5,50.0,8.01
tilichiki,98,RU,1569908311,90,60.47,166.1,39.11,8.37
isangel,75,VU,1569908312,74,-19.55,169.27,78.8,11.41
russell,1,US,1569908312,69,38.9,-98.86,79.0,18.34
faanui,44,PF,1569908312,80,-16.48,-151.75,77.09,21.05
cacoal,22,BR,1569908313,79,-11.43,-61.44,74.21,0.83
tomatlan,74,MX,1569908313,85,19.93,-105.25,76.55,5.68
egvekinot,93,RU,1569908313,98,66.32,-179.17,34.07,9.48
touros,20,BR,1569908313,100,-5.2,-35.46,71.6,4.7
mazagao,20,BR,1569908314,100,-0.12,-51.29,78.8,1.12
odessa,1,US,1569908078,65,31.85,-102.37,80.01,19.46
dejen,100,ET,1569908314,91,10.16,38.15,65.57,4.38
robertsport,10,LR,1569908315,97,6.75,-11.37,73.85,4.47
conceicao do araguaia,27,BR,1569908315,67,-8.26,-49.26,77.99,2.04
kruisfontein,11,ZA,1569908315,67,-34.0,24.73,57.29,10.63
honiara,90,SB,1569908316,94,-9.43,159.96,77.0,8.05
luderitz,0,NA,1569908316,62,-26.65,15.16,57.2,4.7
ciudad bolivar,52,VE,1569908316,91,8.12,-63.55,76.19,5.95
winneba,20,GH,1569908316,94,5.35,-0.62,73.4,10.29
te anau,83,NZ,1569908317,71,-45.41,167.72,40.73,11.79
vikindu,40,TZ,1569908317,94,-6.98,39.3,77.0,3.36
morden,90,CA,1569908132,100,49.19,-98.1,39.2,17.22
kununurra,40,AU,1569908317,24,-15.77,128.74,100.4,12.75
ligayan,100,PH,1569908318,68,4.65,119.47,84.65,6.71
preobrazheniye,0,RU,1569908318,40,42.9,133.91,75.29,6.04
khandyga,100,RU,1569908318,95,62.65,135.58,34.07,3.89
kendari,11,ID,1569908319,62,-3.99,122.52,85.73,7.99
ilebo,100,CD,1569908319,93,-4.33,20.59,72.23,1.1
lukhovka,100,RU,1569908319,88,54.15,45.26,51.89,20.18
san jeronimo,100,PE,1569908320,72,-13.65,-73.37,49.73,1.32
hay river,40,CA,1569908320,60,60.82,-115.79,39.2,6.93
luwuk,100,ID,1569908320,95,-0.95,122.79,67.73,4.36
yumen,76,CN,1569908321,25,40.29,97.04,70.61,12.19
vaitape,44,PF,1569908321,80,-16.52,-151.75,77.09,21.05
evensk,95,RU,1569908321,75,61.92,159.24,30.83,5.21
victoria point,40,AU,1569908129,56,-27.58,153.3,75.0,12.75
filingue,88,NE,1569908322,47,14.35,3.32,86.99,2.55
lima,75,PE,1569908322,88,-12.06,-77.04,62.6,9.17
taikang,0,CN,1569908323,35,46.86,124.44,81.95,9.95
nakasongola,100,UG,1569908323,82,1.32,32.46,70.43,3.67
loni,75,IN,1569908323,70,28.73,77.29,86.0,4.7
ribeira brava,20,PT,1569908324,68,32.65,-17.07,69.8,10.29
otradnoye,90,RU,1569908324,93,59.77,30.8,53.01,6.71
nipawin,90,CA,1569908131,74,53.36,-104.02,35.6,3.36
radhanpur,68,IN,1569908324,69,23.83,71.61,87.35,15.14
alta floresta,56,BR,1569908325,96,-9.87,-56.08,70.61,0.85
anadyr,20,RU,1569908325,81,64.73,177.51,46.4,11.18
kyren,100,RU,1569908325,90,51.68,102.13,23.27,3.98
smithers,75,CA,1569908325,56,54.78,-127.17,44.6,3.36
antofagasta,90,CL,1569908198,76,-23.65,-70.4,57.2,3.36
torbay,90,CA,1569908326,87,47.66,-52.73,44.01,18.34
marawi,65,PH,1569908326,76,8.0,124.29,86.0,5.99
tazmalt,0,DZ,1569908327,59,36.39,4.4,66.2,13.87
inhambane,75,MZ,1569908313,88,-23.87,35.38,75.2,14.09
taklisah,20,TN,1569908327,72,36.78,10.63,68.0,4.7
izhevsk,100,RU,1569908327,83,56.87,53.21,46.99,4.0
nouadhibou,90,MR,1569908328,93,20.93,-17.03,66.2,10.29
taltal,22,CL,1569908328,93,-25.41,-70.49,48.65,1.16
hukuntsi,0,BW,1569908329,30,-23.98,21.76,56.39,9.84
paciran,79,ID,1569908329,34,-6.9,112.33,94.01,13.42
longyearbyen,40,NO,1569908329,68,78.22,15.63,28.4,13.87
axim,86,GH,1569908330,90,4.87,-2.24,76.19,6.55
el calvario,40,CO,1569908330,93,4.35,-73.71,77.0,6.93
longyan,0,CN,1569908330,43,25.1,117.03,86.27,7.54
vardo,90,US,1569908331,88,39.62,-77.74,68.0,9.17
groningen,75,NL,1569908331,93,53.22,6.57,55.99,9.17
zhangjiakou,0,CN,1569908331,49,40.77,114.88,68.99,10.09
grindavik,75,IS,1569908332,93,63.84,-22.43,42.8,6.93
great yarmouth,40,GB,1569908327,93,52.61,1.73,57.99,10.29
bundaberg,40,AU,1569908333,60,-24.87,152.35,73.4,23.04
hopkinsville,1,US,1569908333,78,36.87,-87.49,75.2,4.61
tawang,57,BT,1569908333,88,27.59,91.87,61.61,4.52
mercedes,78,UY,1569908334,95,-33.25,-58.03,62.87,16.55
tuatapere,100,NZ,1569908334,68,-46.13,167.69,48.0,5.01
yerbogachen,90,RU,1569908335,49,61.28,108.01,37.31,9.69
cagliliog,100,PH,1569908335,65,13.9,123.29,86.81,5.03
cherskiy,95,RU,1569908335,88,68.75,161.3,27.59,11.14
mumbwa,38,ZM,1569908336,18,-14.99,27.06,72.59,5.86
maroua,84,CM,1569908336,80,10.6,14.33,76.19,3.18
grand baie,75,MU,1569908337,83,-20.02,57.58,77.0,17.22
kachug,36,RU,1569908337,61,53.96,105.89,36.59,10.18
banepa,75,NP,1569908305,69,27.63,85.52,75.2,2.24
great falls,20,US,1569908095,85,47.5,-111.29,21.0,4.7
lindi,20,TZ,1569908338,100,-10.0,39.71,75.2,5.82
harper,75,US,1569908338,83,30.3,-99.24,78.8,11.41
kiama,20,AU,1569908339,56,-34.67,150.86,68.0,16.11
port blair,13,IN,1569908339,75,11.67,92.75,82.49,3.31
nhulunbuy,20,AU,1569908339,52,-12.18,136.78,87.8,16.11
ouango,100,CD,1569908340,90,4.31,22.55,71.51,2.86
kailua,20,US,1569908340,69,21.39,-157.74,82.4,11.41
berdigestyakh,100,RU,1569908341,85,62.1,126.7,32.09,9.84
kungurtug,99,RU,1569908341,65,50.6,97.53,31.91,2.35
pontianak,75,ID,1569908342,74,-0.02,109.34,86.0,4.99
port hardy,5,CA,1569908343,93,50.7,-127.42,37.4,4.7
huittinen,75,FI,1569908343,93,61.18,22.7,45.0,11.41
libreville,40,GA,1569908343,88,0.39,9.45,75.2,5.82
rosaryville,90,US,1569908344,77,38.76,-76.81,70.0,6.11
aswan,0,EG,1569908344,43,24.09,32.9,73.4,4.7
polewali,18,ID,1569908344,74,-4.03,119.8,83.21,11.27
lorengau,98,PG,1569908345,76,-2.02,147.27,83.03,6.78
koulamoutou,99,GA,1569908345,97,-1.13,12.47,68.81,0.69
puri,78,ID,1569908345,20,-7.54,112.45,100.31,10.09
camargo,100,MX,1569908345,78,27.69,-105.17,70.97,8.99
elko,90,US,1569908346,69,40.83,-115.76,41.0,5.82
virginia beach,90,US,1569907866,73,36.85,-75.98,72.0,5.82
straumen,40,NO,1569908346,92,63.87,11.3,36.0,8.05
chacabuco,100,AR,1569908104,86,-34.64,-60.47,54.41,18.54
hobyo,82,SO,1569908347,64,5.35,48.53,82.67,9.1
anloga,20,GH,1569908347,94,5.79,0.9,75.2,3.36
los llanos de aridane,0,ES,1569908348,88,28.66,-17.92,80.01,10.29
svatove,100,UA,1569908348,82,49.42,38.16,59.99,16.73
sibolga,80,ID,1569908178,76,1.74,98.78,80.51,6.46
divnogorsk,75,RU,1569908349,80,55.96,92.38,39.2,11.18
kulhudhuffushi,94,MV,1569908349,71,6.62,73.07,83.21,11.86
chirongui,75,YT,1569908349,78,-12.93,45.15,82.4,11.41
padang,60,ID,1569908349,84,-0.92,100.36,78.53,12.75
nezhinka,0,RU,1569908350,52,51.77,55.37,39.2,6.71
werota,100,ET,1569908350,93,11.92,37.7,64.85,3.8
muli,0,CN,1569908350,31,28.08,109.56,87.17,3.87
broken hill,0,AU,1569908351,10,-31.97,141.45,77.0,6.93
